listing id,listing name,listing type,room _type,cover photo url,photos count,host id,host name,cohost ids,cohost names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant book,professional management,min nights,cancellation policy,currency,cleaning fee,extra guest fee,num reviews,rating overall,rating accuracy,rating checkin,rating cleanliness,rating communication,rating location,rating value,ttm revenue,ttm revenue native,ttm avg rate,ttm avg rate native,ttm occupancy,ttm adjusted occupancy,ttm revpar,ttm revpar native,ttm adjusted revpar,ttm adjusted revpar native,ttm reserved days,ttm blocked days,ttm available days,ttm total days,l90d revenue,l90d revenue native,l90d avg rate,l90d avg rate native,l90d occupancy,l90d adjusted occupancy,l90d revpar,l90d revpar native,l90d adjusted revpar,l90d adjusted revpar native,l90d reserved days,l90d blocked days,l90d available days,l90d total days
524896,Saint Martin 212 Charming studio -only 1 bed,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/6460584/e4400322 original.jpg,16,2580483,Georges,,,TRUE,48.8797,2.3653,2,1,1,1,TRUE,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Laundromat nearby,Paid parking off premises,Long term stays allowed",,FALSE,4,Moderate,EUR,34,0,455,4.85,4.8,5,4.9,5,4.8,4.8,14672,12912,111.5,100.2,0.351,0,39.5,34.7,0,0,128,0,237,365,2321,2042,106.8,94.1,0.233,0,25,22,0,0,21,0,69,90
525668,Basilica of the Sacred Heart - Heart of Montmartre,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-525668/original/a4bbaaa3-725f-4652-9edb-ad5513c37b01.jpeg,40,2583968,Mélanie,561219830,Fleuria,TRUE,48.8874,2.3337,2,1,1,1,TRUE,"TV,Cable TV,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Portable fans,Hot water,Body soap,Bed linens,Free street parking,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Wine glasses,Washer,Smoke alarm,Shower gel,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet",,TRUE,15,Moderate,EUR,72,0,50,4.92,5,4.8,4.9,4.9,4.9,4.9,13504,12049,137.8,123.7,0.219,0.231,34.4,30.8,36.2,32.4,80,18,285,365,6521,5745,162.7,143.5,0.4,0,65.3,57.5,0,0,36,0,54,90
528769,"Sunny studio, heart of Marais",Entire rental unit,entire home,https://a0.muscache.com/im/pictures/hosting/Hosting-528769/original/385d9b36-40ec-4ff1-8fab-323d8e152e60.jpeg,12,2597876,Kyrie Et Nico,,,TRUE,48.8616,2.3505,2,1,1,1,TRUE,"Hair dryer,Hot water,Essentials,Hangers,Iron,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Elevator",,FALSE,3,Firm,EUR,70,0,76,4.66,4.8,4.9,4.5,4.8,5,4.6,19156,17331,125.7,113,0.362,0.365,48.5,43.9,48.9,44.3,132,3,233,365,376,332,107.4,94.8,0.033,0,3.4,3,0,0,3,0,87,90
529549,Charming 2-room near Montparnasse,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/13799662/6c928a18 original.jpg,27,944297,Nada,,,FALSE,48.8264,2.3295,2,1,1,1,TRUE,"Washer,Dryer,Wifi,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Elevator,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven",,FALSE,4,Moderate,EUR,34,0,105,4.82,4.9,4.8,4.8,4.8,4.8,4.7,1944,1710,185.1,166.4,0.027,0,5.2,4.6,0,0,10,0,355,365,0,0,180.4,159,0,0,0,0,0,0,0,0,90,90
529711,Lovely Apartment in Montmartre,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/49f10636-3464-4bb2-b5cc-bee9d92ef54b.jpg,34,819051,Sebastiano,,,TRUE,48.8869,2.3449,2,1,1,1,TRUE,"Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Bed linens,TV,Portable fans,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Private entrance",,FALSE,3,Firm,EUR,58,0,74,4.83,4.8,4.8,4.7,5,4.8,4.7,12252,10789,133,119.4,0.249,0,32.6,28.7,0,0,91,0,274,365,1743,1536,143,125.9,0.122,0,18.1,15.9,0,0,11,0,79,90
530942,Paris Center - Le Marais/Bastille,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/11c1dfc3-34ac-4556-8f0a-0481224b21d0.jpg,27,2607103,Richard,,,FALSE,48.8585,2.3747,5,3,3,2,TRUE,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Pack ’n play/Travel crib,Children’s books and toys,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Elevator,Luggage dropoff allowed,Long term stays allowed",,FALSE,6,Moderate,EUR,139,0,83,4.9,4.9,5,4.9,5,4.6,4.7,12377,10907,630.4,565.8,0.052,0,33.1,29.2,0,0,19,0,346,365,6875,6058,671.7,591.9,0.111,0,74.8,66,0,0,10,0,80,90
532504,"Charming 2-room, not overlooked",Entire rental unit,entire home,https://a0.muscache.com/im/pictures/miso/Hosting-532504/original/2c21aa70-76a8-4f1b-b475-744389937197.jpeg,22,2616866,Isabelle,,,FALSE,48.8477,2.3971,2,1,1,1,TRUE,"Hair dryer,Hot water,Washer,Essentials,Iron,TV,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Elevator",,FALSE,4,Moderate,EUR,34,0,33,4.97,5,4.9,5,4.9,4.9,4.9,30896,27750,164.2,147.4,0.521,0.888,83.2,74.8,142,127.6,190,151,175,365,0,0,178.6,157.6,0,0,0,0,0,0,0,90,90,90
533399,Beautiful and typical parisian apartment,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTMzMzk5/original/441cc4b5-2ac0-462d-a6c9-3ff5eb481ea2.jpeg,48,2621374,Aymeric,,,FALSE,48.8747,2.2805,6,3,3,2,TRUE,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Record player,Sound system,Books and reading material,Indoor fireplace,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Elevator,Pets allowed,Luggage dropoff allowed",,FALSE,3,Firm,EUR,177,0,15,4.87,4.9,4.9,4.4,4.9,4.9,4.7,94841,85386,710.8,637.6,0.353,0.369,247.7,223.2,258.3,232.8,129,15,236,365,19464,17154,766.8,675.7,0.267,0,208.4,183.7,0,0,24,0,66,90
534266,Typical Parisian apartment near Luxembourg,Entire rental unit,entire home,https://a0.muscache.com/im/pictures/hosting/Hosting-534266/original/65d6876b-f71b-4173-9968-f92e62381161.jpeg,46,2625988,Constance,,,FALSE,48.8411,2.3426,4,2,3,1,TRUE,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Piano,Sound system,Books and reading material,Children’s books and toys,Children’s dinnerware,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Long term stays allowed",,FALSE,7,Firm,EUR,58,0,59,4.88,4.9,5,4.8,4.9,4.8,4.7,2854,2724,245.9,220.4,0.036,0.165,7.5,7.2,34.7,33.2,13,286,352,365,0,0,269.6,237.6,0,0,0,0,0,0,0,87,90,90
534650,Small house in Paris Center 5p,Entire home,entire home,https://a0.muscache.com/im/pictures/6480365/4d89fd9c original.jpg,18,2526137,Gilian,,,TRUE,48.8672,2.3521,5,1,3,1,TRUE,"Air conditioning,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Elevator,Paid parking off premises,Single level home,Long term stays allowed",,FALSE,2,Strict,EUR,104,0,632,4.82,4.8,4.9,4.8,4.9,4.8,4.6,71340,63516,225,201.3,0.751,0,172.1,153.3,0,0,274,0,91,365,19937,17579,243.6,214.7,0.811,0,199.6,175.9,0,0,73,0,17,90
